url,people,rate,type
https://leetcode.cn/problems/fibonacci-number,3438,0.659,easy
https://leetcode.cn/problems/game-play-analysis-i,443,0.707,easy
https://leetcode.cn/problems/game-play-analysis-ii,243,0.542,easy
https://leetcode.cn/problems/detect-capital,1404,0.565,easy
https://leetcode.cn/problems/longest-uncommon-subsequence-i,590,0.737,easy
https://leetcode.cn/problems/minimum-absolute-difference-in-bst,1316,0.63,easy
https://leetcode.cn/problems/reverse-string-ii,1723,0.576,easy
https://leetcode.cn/problems/diameter-of-binary-tree,2434,0.595,easy
https://leetcode.cn/problems/student-attendance-record-i,1025,0.57,easy
https://leetcode.cn/problems/reverse-words-in-a-string-iii,2641,0.737,easy
https://leetcode.cn/problems/maximum-depth-of-n-ary-tree,1122,0.751,easy
https://leetcode.cn/problems/array-partition,1195,0.784,easy
https://leetcode.cn/problems/binary-tree-tilt,791,0.663,easy
https://leetcode.cn/problems/reshape-the-matrix,1374,0.646,easy
https://leetcode.cn/problems/subtree-of-another-tree,1401,0.475,easy
https://leetcode.cn/problems/distribute-candies,1118,0.706,easy
https://leetcode.cn/problems/employee-bonus,245,0.697,easy
https://leetcode.cn/problems/find-customer-referee,530,0.66,easy
https://leetcode.cn/problems/customer-placing-the-largest-number-of-orders,433,0.679,easy
https://leetcode.cn/problems/n-ary-tree-preorder-traversal,1179,0.752,easy
https://leetcode.cn/problems/n-ary-tree-postorder-traversal,944,0.788,easy
https://leetcode.cn/problems/longest-harmonious-subsequence,746,0.564,easy
https://leetcode.cn/problems/big-countries,682,0.664,easy
https://leetcode.cn/problems/classes-more-than-5-students,541,0.527,easy
https://leetcode.cn/problems/friend-requests-i-overall-acceptance-rate,134,0.429,easy
https://leetcode.cn/problems/range-addition-ii,656,0.582,easy
https://leetcode.cn/problems/minimum-index-sum-of-two-lists,764,0.571,easy
https://leetcode.cn/problems/consecutive-available-seats,254,0.631,easy
https://leetcode.cn/problems/design-compressed-string-iterator,99,0.394,easy
https://leetcode.cn/problems/can-place-flowers,2180,0.324,easy
https://leetcode.cn/problems/sales-person,468,0.67,easy
https://leetcode.cn/problems/triangle-judgement,194,0.677,easy
https://leetcode.cn/problems/shortest-distance-in-a-line,134,0.791,easy
https://leetcode.cn/problems/merge-two-binary-trees,2560,0.793,easy
https://leetcode.cn/problems/biggest-single-number,261,0.527,easy
https://leetcode.cn/problems/not-boring-movies,510,0.772,easy
https://leetcode.cn/problems/swap-salary,679,0.823,easy
https://leetcode.cn/problems/maximum-product-of-three-numbers,1153,0.519,easy
https://leetcode.cn/problems/average-of-levels-in-binary-tree,1157,0.702,easy
https://leetcode.cn/problems/maximum-average-subarray-i,991,0.431,easy
https://leetcode.cn/problems/set-mismatch,1107,0.392,easy
https://leetcode.cn/problems/two-sum-iv-input-is-a-bst,1014,0.635,easy
https://leetcode.cn/problems/robot-return-to-origin,903,0.792,easy
https://leetcode.cn/problems/image-smoother,593,0.642,easy
https://leetcode.cn/problems/second-minimum-node-in-a-binary-tree,891,0.48,easy
https://leetcode.cn/problems/longest-continuous-increasing-subsequence,1406,0.566,easy
https://leetcode.cn/problems/valid-palindrome-ii,1247,0.402,easy
https://leetcode.cn/problems/baseball-game,1068,0.71,easy
https://leetcode.cn/problems/binary-number-with-alternating-bits,866,0.652,easy
https://leetcode.cn/problems/count-binary-substrings,650,0.636,easy
